connecti:25,20:16:13:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1sF1pFtL8fsnQBBAoTt8P7YGOVZVr6-6a4BLeU3PBncI/revisions/load?id=1sF1pFtL8fsnQBBAoTt8P7YGOVZVr6-6a4BLeU3PBncI&start=1&end=9391 HTTP/1.1" 200 None
gdoc.py:25,20:16:13:get_last_revision:55:br5GSQ -- last revision id 1948
gdoc.py:25,20:16:13:async_init:35:br5GSQ -- after await 1948
connecti:25,20:16:13:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:13:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
connecti:25,20:16:13:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/15e68EIS9xXe5Yvzju4GtkyhFKJ_UgUA9juJKiUpPeUA/revisions/load?id=15e68EIS9xXe5Yvzju4GtkyhFKJ_UgUA9juJKiUpPeUA&start=1&end=2586 HTTP/1.1" 200 None
get_file:25,20:16:14:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
connecti:25,20:16:14:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1G1g252JtmrFnXI5HaLLEafe8apipzquYwQQ0hbQIaho/revisions/load?id=1G1g252JtmrFnXI5HaLLEafe8apipzquYwQQ0hbQIaho&start=1&end=1948 HTTP/1.1" 200 None
get_file:25,20:16:14:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:14:getRevision:200:br5GSQ -- google doc
get_file:25,20:16:14:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:14:async_init:26:br5GSQ -- async init called
gdoc.py:25,20:16:14:get_last_revision:45:br5GSQ -- code not 200
gdoc.py:25,20:16:14:async_init:35:br5GSQ -- after await 1
connecti:25,20:16:14:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:14:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:14:getRevision:180:br5GSQ -- not google doc
