get_file:25,20:13:17:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:17:async_init:26:8tAM3A -- async init called
get_file:25,20:13:17:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:17:async_init:26:8tAM3A -- async init called
get_file:25,20:13:17:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:17:async_init:26:8tAM3A -- async init called
get_file:25,20:13:17:getRevision:198:8tAM3A -- google doc
get_file:25,20:13:17:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:17:async_init:26:8tAM3A -- async init called
get_file:25,20:13:17:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:17:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:17:async_init:26:8tAM3A -- async init called
get_file:25,20:13:18:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
gdoc.py:25,20:13:18:get_last_revision:55:8tAM3A -- last revision id 2586
gdoc.py:25,20:13:18:async_init:35:8tAM3A -- after await 2586
connecti:25,20:13:18:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:25,20:13:18:get_last_revision:55:8tAM3A -- last revision id 908
gdoc.py:25,20:13:18:async_init:35:8tAM3A -- after await 908
connecti:25,20:13:18:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:25,20:13:18:get_last_revision:55:8tAM3A -- last revision id 1592
gdoc.py:25,20:13:18:async_init:35:8tAM3A -- after await 1592
connecti:25,20:13:18:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:18:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
connecti:25,20:13:18:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/15e68EIS9xXe5Yvzju4GtkyhFKJ_UgUA9juJKiUpPeUA/revisions/load?id=15e68EIS9xXe5Yvzju4GtkyhFKJ_UgUA9juJKiUpPeUA&start=1&end=2586 HTTP/1.1" 200 None
connecti:25,20:13:18:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/186ge00t4G7kcx1QdCIHxRhTnZfzpSTGDgfAXkdbD_Ig/revisions/load?id=186ge00t4G7kcx1QdCIHxRhTnZfzpSTGDgfAXkdbD_Ig&start=1&end=908 HTTP/1.1" 200 None
gdoc.py:25,20:13:18:get_last_revision:45:8tAM3A -- code not 200
gdoc.py:25,20:13:18:async_init:35:8tAM3A -- after await 1
connecti:25,20:13:18:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:18:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
connecti:25,20:13:18:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1wfaH9BSg8wrDaKXR54KK1y8pd-miEOQNj3E8GL6fTfg/revisions/load?id=1wfaH9BSg8wrDaKXR54KK1y8pd-miEOQNj3E8GL6fTfg&start=1&end=1592 HTTP/1.1" 200 None
gdoc.py:25,20:13:19:get_last_revision:55:8tAM3A -- last revision id 1948
gdoc.py:25,20:13:19:async_init:35:8tAM3A -- after await 1948
connecti:25,20:13:19:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:25,20:13:19:get_last_revision:45:8tAM3A -- code not 200
gdoc.py:25,20:13:19:async_init:35:8tAM3A -- after await 1
connecti:25,20:13:19:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:19:getRevision:198:8tAM3A -- google doc
get_file:25,20:13:19:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:19:getRevision:178:8tAM3A -- not google doc
get_file:25,20:13:19:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
connecti:25,20:13:19:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/16Tz6lbS7tdWBUhgseZCx0va0xBAayzOSSDSH-T20xRA/revisions/load?id=16Tz6lbS7tdWBUhgseZCx0va0xBAayzOSSDSH-T20xRA&start=1&end=1 HTTP/1.1" 403 None
gdoc.py:25,20:13:19:download_details:73:8tAM3A -- Cannot get revisions.json
Traceback (most recent call last):
  File "/home/henry/pydocs/processing/gdoc.py", line 71, in download_details
