gdoc.py:26,13:10:07:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:08:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:08:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:08:async_init:30:q3Xr7Q -- async init called
gdoc.py:26,13:10:08:get_last_revision:61:q3Xr7Q -- last revision id 2586
gdoc.py:26,13:10:08:async_init:39:q3Xr7Q -- after await 2586
connecti:26,13:10:08:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:08:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:08:async_init:30:q3Xr7Q -- async init called
connecti:26,13:10:09:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/15e68EIS9xXe5Yvzju4GtkyhFKJ_UgUA9juJKiUpPeUA/revisions/load?id=15e68EIS9xXe5Yvzju4GtkyhFKJ_UgUA9juJKiUpPeUA&start=1&end=2586 HTTP/1.1" 200 None
get_file:26,13:10:09:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:09:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:10:09:getRevision:178:q3Xr7Q -- not google doc
gdoc.py:26,13:10:09:get_last_revision:61:q3Xr7Q -- last revision id 1948
gdoc.py:26,13:10:09:async_init:39:q3Xr7Q -- after await 1948
connecti:26,13:10:09:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:09:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
connecti:26,13:10:09:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1G1g252JtmrFnXI5HaLLEafe8apipzquYwQQ0hbQIaho/revisions/load?id=1G1g252JtmrFnXI5HaLLEafe8apipzquYwQQ0hbQIaho&start=1&end=1948 HTTP/1.1" 200 None
get_file:26,13:10:09:getRevision:198:q3Xr7Q -- google doc
get_file:26,13:10:09:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:10:09:getRevision:178:q3Xr7Q -- not google doc
gdoc.py:26,13:10:09:get_last_revision:61:q3Xr7Q -- last revision id 1592
gdoc.py:26,13:10:09:async_init:39:q3Xr7Q -- after await 1592
connecti:26,13:10:09:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:10:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:10:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:10:10:getRevision:178:q3Xr7Q -- not google doc
connecti:26,13:10:10:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1wfaH9BSg8wrDaKXR54KK1y8pd-miEOQNj3E8GL6fTfg/revisions/load?id=1wfaH9BSg8wrDaKXR54KK1y8pd-miEOQNj3E8GL6fTfg&start=1&end=1592 HTTP/1.1" 200 None
get_file:26,13:10:10:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:10:10:get_last_revision:61:q3Xr7Q -- last revision id 9391
gdoc.py:26,13:10:10:async_init:39:q3Xr7Q -- after await 9391
connecti:26,13:10:10:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:10:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:10:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:10:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:10:getRevision:198:q3Xr7Q -- google doc
get_file:26,13:10:10:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:10:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:10:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:10:11:get_last_revision:61:q3Xr7Q -- last revision id 36
gdoc.py:26,13:10:11:async_init:39:q3Xr7Q -- after await 36
connecti:26,13:10:11:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:11:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
connecti:26,13:10:11:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1LuJ1Ln_dAc7n3Qj0zNE4yuYfFG6NEgxO-hsDA9M4qpQ/revisions/load?id=1LuJ1Ln_dAc7n3Qj0zNE4yuYfFG6NEgxO-hsDA9M4qpQ&start=1&end=36 HTTP/1.1" 200 None
get_file:26,13:10:11:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:10:11:get_last_revision:61:q3Xr7Q -- last revision id 2
gdoc.py:26,13:10:11:async_init:39:q3Xr7Q -- after await 2
connecti:26,13:10:11:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:11:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:11:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:11:getRevision:198:q3Xr7Q -- google doc
get_file:26,13:10:11:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:11:async_init:30:q3Xr7Q -- async init called
connecti:26,13:10:11:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1sF1pFtL8fsnQBBAoTt8P7YGOVZVr6-6a4BLeU3PBncI/revisions/load?id=1sF1pFtL8fsnQBBAoTt8P7YGOVZVr6-6a4BLeU3PBncI&start=1&end=9391 HTTP/1.1" 200 None
get_file:26,13:10:11:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
connecti:26,13:10:12:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/15Fi6RHQtC8H-GOJC_gjiED_9rNxtCdahEGtLvBUZcv4/revisions/load?id=15Fi6RHQtC8H-GOJC_gjiED_9rNxtCdahEGtLvBUZcv4&start=1&end=2 HTTP/1.1" 200 None
gdoc.py:26,13:10:12:get_last_revision:61:q3Xr7Q -- last revision id 6
gdoc.py:26,13:10:12:async_init:39:q3Xr7Q -- after await 6
connecti:26,13:10:12:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:12:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:12:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
connecti:26,13:10:12:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1H1aSubiwctKw-qMV6t1aGlfooY2Qn9V6Y01phHpg-kw/revisions/load?id=1H1aSubiwctKw-qMV6t1aGlfooY2Qn9V6Y01phHpg-kw&start=1&end=6 HTTP/1.1" 200 None
gdoc.py:26,13:10:12:get_last_revision:61:q3Xr7Q -- last revision id 919
gdoc.py:26,13:10:12:async_init:39:q3Xr7Q -- after await 919
connecti:26,13:10:12:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:12:getRevision:198:q3Xr7Q -- google doc
get_file:26,13:10:12:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:10:12:getRevision:178:q3Xr7Q -- not google doc
get_file:26,13:10:12:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:13:getRevision:198:q3Xr7Q -- google doc
get_file:26,13:10:13:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:13:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:13:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:13:async_init:30:q3Xr7Q -- async init called
connecti:26,13:10:13:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1WbGMwYDyqP6aCDpf5fBbR7sneMicXtvEtfm3Z4k0Vzs/revisions/load?id=1WbGMwYDyqP6aCDpf5fBbR7sneMicXtvEtfm3Z4k0Vzs&start=1&end=919 HTTP/1.1" 200 None
get_file:26,13:10:13:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:13:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:14:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:10:14:get_last_revision:61:q3Xr7Q -- last revision id 567
gdoc.py:26,13:10:14:async_init:39:q3Xr7Q -- after await 567
connecti:26,13:10:14:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:14:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:10:14:getRevision:178:q3Xr7Q -- not google doc
get_file:26,13:10:14:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:14:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:14:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:10:14:get_last_revision:61:q3Xr7Q -- last revision id 929
gdoc.py:26,13:10:14:async_init:39:q3Xr7Q -- after await 929
connecti:26,13:10:14:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
connecti:26,13:10:14:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/16wh_FgWE8Y0tUpAdIte4WyuB91_ypCySi82lvdhAiFY/revisions/load?id=16wh_FgWE8Y0tUpAdIte4WyuB91_ypCySi82lvdhAiFY&start=1&end=567 HTTP/1.1" 200 None
get_file:26,13:10:14:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:14:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:14:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
