,0
632,2018-12-16 21:41:01.758
633,2018-12-16 21:43:20.802
634,2018-12-16 21:45:00.035
635,2018-12-16 21:47:42.409
636,2018-12-16 21:50:23.785
637,2018-12-16 21:51:00.407
638,2018-12-16 22:00:05.340
639,2018-12-16 22:01:40.285
640,2018-12-16 22:24:24.733
641,2018-12-16 22:25:33.813
642,2018-12-16 22:27:47.564
643,2018-12-16 22:29:13.635
644,2018-12-16 22:32:03.346
645,2018-12-16 22:33:07.295
646,2018-12-16 22:36:36.724
647,2018-12-16 22:39:44.965
648,2018-12-16 22:41:01.737
649,2018-12-16 22:43:02.562
650,2018-12-16 22:45:29.410
651,2018-12-16 22:47:01.420
652,2018-12-16 22:49:03.160
653,2018-12-16 22:51:16.510
654,2018-12-16 22:53:10.085
655,2018-12-16 22:55:35.152
656,2018-12-16 22:57:02.347
657,2018-12-16 22:59:00.847
658,2018-12-16 23:05:07.434
659,2018-12-16 23:07:02.407
660,2018-12-16 23:09:02.703
661,2018-12-16 23:12:57.575
662,2018-12-16 23:13:23.660
663,2018-12-16 23:15:22.444
664,2018-12-16 23:18:44.951
665,2018-12-16 23:19:02.938
666,2018-12-16 23:21:05.063
667,2018-12-16 23:33:59.391
668,2020-02-19 14:32:20.608
669,2020-02-19 14:33:00.751
670,2020-02-19 14:35:00.676
671,2020-02-19 14:37:11.008
672,2020-02-19 14:39:11.995
673,2020-02-19 14:41:17.504
674,2020-02-19 14:43:00.075
675,2020-02-19 14:45:00.237
676,2020-02-19 14:47:33.253
677,2020-02-19 14:52:56.032
678,2020-02-19 14:53:04.745
679,2020-02-19 14:55:54.721
680,2020-02-19 14:57:10.724
681,2020-02-19 15:00:28.636
682,2020-02-19 15:01:10.410
683,2020-02-19 16:04:51.678
684,2020-02-19 17:37:46.887
685,2020-02-20 11:00:34.411
686,2020-02-20 11:01:01.362
687,2020-02-20 11:03:03.619
688,2020-02-20 11:05:14.488
689,2020-02-20 11:08:30.188
690,2020-02-20 11:17:07.911
691,2020-02-20 11:19:11.843
692,2020-02-20 11:21:20.599
693,2020-02-20 11:23:14.734
694,2020-02-20 13:55:04.416
695,2020-02-20 15:56:40.175
696,2020-02-20 16:18:48.280
697,2020-02-20 16:19:04.521
698,2020-02-20 16:26:52.303
699,2020-02-20 16:27:06.026
700,2020-02-20 21:53:07.330
701,2020-02-20 21:56:07.094
702,2020-02-20 21:57:05.192
703,2020-02-20 22:05:41.261
704,2020-02-20 22:13:07.775
705,2020-02-20 22:17:15.638
706,2020-02-20 22:21:12.255
707,2020-02-20 22:25:46.780
708,2020-02-20 22:27:12.518
709,2020-02-21 07:35:30.486
710,2020-02-21 07:41:26.299
711,2020-02-21 07:43:02.296
712,2020-02-21 07:58:41.827
713,2020-02-21 07:59:07.893
714,2020-02-21 08:58:08.555
715,2020-02-21 10:15:52.217
716,2020-02-21 11:53:21.581
717,2020-02-21 14:30:38.615
718,2020-02-21 14:32:54.221
719,2020-02-24 21:02:27.268
720,2020-02-25 14:40:27.820
721,2020-02-27 09:04:59.043
722,2020-02-27 09:05:03.938
723,2020-02-27 09:07:25.179
724,2020-02-27 09:24:35.946
725,2020-02-27 09:29:34.168
726,2020-02-27 09:44:28.916
727,2020-02-27 09:46:46.191
728,2020-02-27 09:47:13.059
729,2020-02-27 09:50:48.125
730,2020-02-27 09:51:01.428
731,2020-02-27 09:54:40.573
732,2020-02-27 11:03:17.157
733,2020-02-27 11:35:02.845
734,2020-02-27 11:37:11.196
735,2020-02-27 11:39:04.193
736,2020-02-27 11:43:56.537
737,2020-02-27 11:45:01.189
738,2020-02-27 11:49:10.800
739,2020-02-27 11:59:02.444
740,2020-02-27 12:02:40.725
741,2020-02-27 12:03:02.985
742,2020-02-27 13:02:21.611
743,2020-02-27 13:03:52.098
744,2020-02-18 11:08:44.451
745,2020-02-18 11:09:17.913
746,2020-02-18 11:11:00.343
747,2020-02-18 11:13:00.833
748,2020-02-18 11:15:00.934
749,2020-02-18 11:17:09.112
750,2020-02-18 11:19:37.462
751,2020-02-18 11:21:49.279
752,2020-02-20 11:07:55.263
753,2020-02-20 11:09:25.144
754,2020-02-20 11:14:19.114
755,2020-02-20 11:16:21.607
756,2020-02-20 11:17:54.509
757,2020-02-20 11:19:49.535
758,2020-02-20 11:21:02.386
759,2020-02-20 11:23:22.856
760,2020-02-23 13:33:06.546
761,2020-02-23 13:35:02.817
762,2020-02-23 16:48:25.222
763,2020-02-23 16:55:55.787
764,2020-02-23 16:57:06.210
765,2020-02-23 16:59:13.077
766,2020-02-18 08:54:57.650
767,2020-02-18 08:55:00.793
768,2020-02-17 17:07:27.816
769,2020-02-12 10:19:33.201
770,2020-02-12 10:54:33.377
771,2020-02-12 10:55:04.473
772,2020-02-12 10:57:28.589
773,2020-02-12 10:59:46.874
774,2020-02-12 11:01:25.304
775,2020-02-12 11:03:34.830
776,2020-02-12 11:05:01.307
777,2020-02-12 11:07:11.524
778,2020-02-12 11:14:16.099
779,2020-02-12 11:15:01.258
780,2020-02-12 11:17:00.908
781,2020-02-13 11:50:22.101
782,2020-02-13 11:51:46.034
783,2020-02-13 11:53:00.132
784,2020-02-13 11:57:37.581
785,2020-02-14 21:46:10.051
786,2020-02-14 21:47:00.017
787,2020-02-14 21:52:10.190
788,2020-02-14 21:53:00.286
789,2020-02-04 13:59:22.043
790,2020-02-04 14:01:02.233
791,2020-02-04 14:04:06.677
792,2020-02-04 14:05:00.100
793,2020-02-04 14:07:29.861
794,2020-02-04 14:10:05.995
795,2020-02-04 14:12:56.687
796,2020-02-04 14:14:31.208
797,2020-02-04 14:15:00.031
798,2020-02-04 14:17:00.190
799,2020-02-04 14:19:01.274
800,2020-02-04 14:22:58.245
801,2020-02-04 14:23:00.096
802,2020-02-04 14:26:46.767
803,2020-01-28 12:33:33.355
804,2020-01-28 12:38:05.283
805,2020-01-28 12:39:36.603
806,2020-01-28 12:41:00.547
807,2020-01-28 12:45:17.961
808,2020-01-28 12:47:14.843
809,2020-01-28 12:49:55.975
810,2020-01-28 12:52:11.046
811,2020-01-28 12:53:00.658
812,2020-01-28 12:55:02.343
813,2020-01-28 12:57:05.541
814,2020-01-28 12:59:00.426
815,2020-01-28 13:01:42.826
816,2020-01-28 13:03:56.333
817,2020-01-28 13:05:40.533
818,2020-01-28 13:07:00.590
819,2020-02-02 16:23:02.933
820,2020-02-02 16:25:00.098
821,2020-02-04 14:09:59.493
